code,mun,municipio,poblacion,p2005
ini8,1,Abejones,1084,964
vuf1,2,Acatlán de Pérez Figueroa,44885,37704
bbz4,3,Asunción Cacalotepec,2495,2231
jx16,4,Asunción Cuyotepeji,1012,841
we60,5,Asunción Ixtaltepec,14751,13136
aux7,6,Asunción Nochixtlán,17820,15126
ks99,7,Asunción Ocotlán,2612,2241
xff8,8,Asunción Tlacolulita,842,764
bhd1,9,Ayotzintepec,6720,5801
oz72,10,El Barrio de la Soledad,13608,11847
ytd0,11,Calihualá,1220,1062
th57,12,Candelaria Loxicha,9860,8420
bhi3,13,Ciénega de Zimatlán,2785,2402
tce2,14,Ciudad Ixtepec,26450,22076
axk0,15,Coatecas Altas,4712,3912
dr18,16,Coicoyán de las Flores,8531,6976
gj59,17,La Compañía,3302,2865
xut5,18,Concepción Buenavista,834,661
msk4,19,Concepción Pápalo,3071,2754
sqo0,20,Constancia del Rosario,3860,3300
mk25,21,Cosolapa,14667,12401
ggn4,22,Cosoltepec,866,734
gla1,23,Cuilápam de Guerrero,18428,16297
vf56,24,Cuyamecalco Villa de Zaragoza,3846,3243
kg46,25,Chahuites,11105,9469
alk4,26,Chalcatongo de Hidalgo,8481,7012
hkq8,27,Chiquihuitlán de Benito Juárez,2458,2049
jjc6,28,Heroica Ciudad de Ejutla de Crespo,19679,16768
hdx2,29,Eloxochitlán de Flores Magón,4263,3618
yqp1,30,El Espinal,8310,7261
dc51,31,Tamazulápam del Espíritu Santo,7362,6293
hvy7,32,Fresnillo de Trujano,1033,851
irt9,33,Guadalupe Etla,2433,2154
kxv7,34,Guadalupe de Ramírez,1425,1213
ch99,35,Guelatao de Juárez,544,465
drx4,36,Guevea de Humboldt,5285,4648
xw69,37,Mesones Hidalgo,4402,3725
uxj2,38,Villa Hidalgo,2112,1931
tqy2,39,Heroica Ciudad de Huajuapan de León,69839,57839
erl6,40,Huautepec,5995,5145
fe33,41,Huautla de Jiménez,30004,25948
hm41,42,Ixtlán de Juárez,7674,6646
ezo5,43,Heroica Ciudad de Juchitán de Zaragoza,93038,82073
irs9,44,Loma Bonita,41535,34415
xq61,45,Magdalena Apasco,7522,6354
ng23,46,Magdalena Jaltepec,3313,2874
yk43,47,Santa Magdalena Jicotlán,93,80
mfc9,48,Magdalena Mixtepec,1304,1074
mhj5,49,Magdalena Ocotlán,1141,964
odp7,50,Magdalena Peñasco,3778,3109
zfq1,51,Magdalena Teitipac,4368,3662
jxc1,52,Magdalena Tequisistlán,6182,5397
kiu6,53,Magdalena Tlacotepec,1221,1097
gox7,54,Magdalena Zahuatlán,409,354
ch40,55,Mariscala de Juárez,3530,3019
xmr0,56,Mártires de Tacubaya,1451,1284
mi19,57,Matías Romero Avendaño,38019,32792
ps03,58,Mazatlán Villa de Flores,13435,11641
yru6,59,Miahuatlán de Porfirio Díaz,41387,34766
nxw7,60,Mixistlán de la Reforma,2770,2429
eks5,61,Monjas,2568,2158
pzv5,62,Natividad,586,524
ee60,63,Nazareno Etla,3882,3456
lij3,64,Nejapa de Madero,7390,6423
zom8,65,Ixpantepec Nieves,1182,1029
ao04,66,Santiago Niltepec,5353,4599
gy84,67,Oaxaca de Juárez,263357,227187
qzg5,68,Ocotlán de Morelos,21341,18497
nb79,69,La Pe,2446,2109
ld64,70,Pinotepa de Don Luis,6629,5854
oi18,71,Pluma Hidalgo,3060,2672
bzi6,72,San José del Progreso,6579,5749
ig50,73,Putla Villa de Guerrero,31897,27337
pcr0,74,Santa Catarina Quioquitani,505,441
viz0,75,Reforma de Pineda,2671,2311
ckb3,76,La Reforma,3331,2887
mi95,77,Reyes Etla,3568,3171
yja1,78,Rojas de Cuauhtémoc,1092,984
mvi8,79,Salina Cruz,82371,71564
vk49,80,San Agustín Amatengo,1312,1210
sdm8,81,San Agustín Atenango,1914,1544
ncg7,82,San Agustín Chayuco,3952,3532
gq12,83,San Agustín de las Juntas,8089,6795
ooc5,84,San Agustín Etla,3893,3408
